tradeId,asset,timestamp,datetime,hourOfDay,dayOfWeek,minuteOfHour,isMarketOpen,direction,directionEncoded,entryPrice,openPrice,highPrice,lowPrice,closePrice,rsi1m,rsi1mPrev,bbUpper,bbMiddle,bbLower,rsi5m,rsi5mPrev,adx15m,sma15m,sma15mPrev,bbWidth,bbWidthPct,pricePositionInBB,distToUpperBB,distToLowerBB,rsiDelta1m,rsiDelta5m,rsiDivergence,smaSlope15m,distToSma15m,atr1m,candleBodyPct,upperWickPct,lowerWickPct,regime,regimeEncoded,strategyType,strategyEncoded,confidence,priceChange1,priceChange5,priceChange15,target,exitReason,pnl,barsHeld
R_100_1764468575685_31,R_100,1756757100,2025-09-01T20:05:00.000Z,20,1,5,1,CALL,1,1247.720000,1251.990000,1252.020000,1247.720000,1247.720000,29.660000,34.530000,1267.921207,1258.048000,1248.174793,44.950000,46.510000,20.810133,1245.642000,1244.608000,0.015696,1.569607,-1.046063,1.619050,-0.036450,-4.870000,-1.560000,-15.290000,0.083078,0.166822,2.741179,0.993023,0.006977,0,BULLISH_TREND,2,MOMENTUM,1,85,-0.309207,-0.616507,-1.225459,1,TP,32.000000,19
R_100_1764468575685_32,R_100,1756758840,2025-09-01T20:34:00.000Z,20,1,34,1,CALL,1,1243.430000,1244.800000,1245.410000,1243.430000,1243.430000,29.430000,31.430000,1259.772356,1252.091000,1244.409644,40.750000,46.920000,20.541517,1247.097500,1246.306000,0.012270,1.226965,-1.127535,1.314296,-0.078786,-2,-6.170000,-11.320000,0.063508,-0.294083,2.457292,0.691919,0.308081,0,BULLISH_TREND,2,MOMENTUM,1,85,-0.111663,-0.626563,-0.659908,0,TIMEOUT,9.071681,30
R_100_1764468575685_33,R_100,1756776360,2025-09-02T01:26:00.000Z,1,2,26,1,CALL,1,1276.300000,1281.330000,1281.330000,1276.300000,1276.300000,26.090000,33.500000,1297.836609,1288.527500,1279.218391,39.470000,48.860000,38.009452,1271.716000,1270.637000,0.014449,1.444922,-1.313498,1.687425,-0.228660,-7.410000,-9.390000,-13.380000,0.084918,0.360458,2.716218,1,0,0,BULLISH_TREND,2,MOMENTUM,1,85,-0.406552,-0.806727,-1.364040,0,TIMEOUT,-7.176996,30
R_100_1764468575685_34,R_100,1756782180,2025-09-02T03:03:00.000Z,3,2,3,1,CALL,1,1274.570000,1277.630000,1277.850000,1274.420000,1274.570000,28.140000,32.910000,1295.343782,1285.745500,1276.147218,42.740000,46.600000,32.344652,1280.475500,1279.630500,0.014930,1.493030,-1.164323,1.629866,-0.123745,-4.770000,-3.860000,-14.600000,0.066035,-0.461196,2.555551,0.892128,0.064140,0.043732,BULLISH_TREND,2,MOMENTUM,1,85,-0.264486,-0.518260,-1.164711,0,SL,-20.000000,20
R_100_1764468575685_35,R_100,1756798380,2025-09-02T07:33:00.000Z,7,2,33,1,PUT,0,1198.340000,1196.640000,1198.630000,1196.440000,1198.340000,70.030000,67.690000,1196.629778,1190.585500,1184.541222,44.840000,37.520000,55.200015,1222.653000,1227.416000,0.010153,1.015346,1.282949,-0.142716,1.151491,2.340000,7.320000,25.190000,-0.388051,-1.988545,2.233749,0.776256,0.132420,0.091324,BEARISH_TREND,0,MOMENTUM,1,85,0.116965,0.699148,0.753334,0,SL,-20.000000,30
R_100_1764468575685_36,R_100,1756800660,2025-09-02T08:11:00.000Z,8,2,11,1,PUT,0,1207.260000,1205.220000,1207.820000,1205.220000,1207.260000,70.600000,66.440000,1208.583092,1200.948000,1193.312908,56.630000,52.620000,49.808725,1215.202500,1218.791000,0.012715,1.271511,0.826709,0.109595,1.155268,4.160000,4.010000,13.970000,-0.294431,-0.653595,2.488381,0.784615,0.215385,0,BEARISH_TREND,0,MOMENTUM,1,85,0.190046,0.430920,0.903506,0,TIMEOUT,-6.659709,30
R_100_1764468575685_37,R_100,1756829520,2025-09-02T16:12:00.000Z,16,2,12,1,PUT,0,1225.420000,1227.700000,1229.050000,1225.420000,1225.420000,63.050000,71.140000,1230.340992,1220.794000,1211.247008,60.810000,67.160000,17.478148,1212.849500,1212.759000,0.015641,1.564063,0.484551,0.401576,1.156582,-8.090000,-6.350000,2.240000,0.007462,1.036444,2.383090,0.628099,0.371901,0,RANGE,1,MEAN_REVERSION,0,80,-0.197907,0.207706,0.572864,0,SL,-20.000000,8
R_100_1764468575685_38,R_100,1756836960,2025-09-02T18:16:00.000Z,18,2,16,1,CALL,1,1232.640000,1235.460000,1235.700000,1232.040000,1232.640000,26.820000,30.860000,1251.573362,1243.066000,1234.558638,43.440000,50.730000,31.897201,1222.742500,1221.502000,0.013688,1.368771,-1.225527,1.536001,-0.155653,-4.040000,-7.290000,-16.620000,0.101555,0.809451,2.637416,0.770492,0.065574,0.163934,BULLISH_TREND,2,MOMENTUM,1,85,-0.248440,-0.680053,-1.003903,0,TIMEOUT,4.283489,30
R_100_1764468575686_39,R_100,1756892160,2025-09-03T09:36:00.000Z,9,3,36,1,CALL,1,1176.390000,1180.550000,1180.550000,1176.390000,1176.390000,25.230000,30.090000,1200.467428,1188.741000,1177.014572,46.100000,50.500000,26.834353,1171.440500,1170.648000,0.019729,1.972916,-1.053262,2.046722,-0.053092,-4.860000,-4.400000,-20.870000,0.067698,0.422514,2.560111,1,0,0,BULLISH_TREND,2,MOMENTUM,1,85,-0.334649,-0.793557,-1.669230,0,TIMEOUT,13.566929,30
R_100_1764468575686_40,R_100,1756923180,2025-09-03T18:13:00.000Z,18,3,13,1,CALL,1,1155.960000,1154.630000,1156.180000,1154.170000,1155.960000,35.470000,29.800000,1168.136623,1160.956500,1153.776377,41.920000,44.230000,19.092716,1159.151000,1159.785000,0.012369,1.236932,-0.695879,1.053378,0.188901,5.670000,-2.310000,-6.450000,-0.054665,-0.275288,2.320380,0.661692,0.109453,0.228856,RANGE,1,MEAN_REVERSION,0,80,0.123860,-0.161509,-0.595074,0,SL,-20.000000,6
