Direction,EntryPrice,ExitPrice,PnL,BarsHeld,ExitReason,RSI,ATR,Volatility,Trend,AgainstTrend,PinBarType,WickRatio,BodyRatio,NearBB,MaxFavorable%,MaxAdverse%,ReachedTP,ReachedSL,ImmediateReversal,NearMiss,Hour,DayOfWeek
PUT,3987.41,3988.21,-0.40,30,TIMEOUT,65.6,0.9573,low,sideways,Yes,bearish,50.0,26.3,Yes,0.02,0.07,No,No,No,No,19,3
CALL,3983.28,3971.33,-6.00,85,SL,53.1,0.5808,low,sideways,No,bullish,61.7,25.5,Yes,0.00,0.41,No,Yes,No,No,21,3
PUT,3971.25,3972.40,-0.58,30,TIMEOUT,37.0,1.0227,low,sideways,No,bearish,76.3,6.1,No,0.01,0.11,No,No,No,No,0,4
CALL,3973.37,3966.92,-3.25,30,TIMEOUT,51.1,1.1665,low,sideways,No,bullish,72.7,23.5,Yes,0.10,0.21,No,No,No,No,0,4
PUT,3983.49,3987.14,-1.83,30,TIMEOUT,56.9,1.1118,low,sideways,Yes,bearish,53.5,3.0,Yes,0.10,0.09,No,No,No,No,3,4
CALL,3987.70,3985.94,-0.88,30,TIMEOUT,64.6,1.1516,low,sideways,No,bullish,94.2,5.8,No,0.07,0.06,No,No,No,No,3,4
PUT,3986.14,3986.45,-0.16,30,TIMEOUT,46.2,0.7428,low,sideways,No,bearish,73.2,15.5,Yes,0.04,0.04,No,No,No,No,4,4
PUT,3986.40,3988.27,-0.94,30,TIMEOUT,47.7,0.8860,low,sideways,No,bearish,55.0,0.0,Yes,0.01,0.10,No,No,No,No,4,4
CALL,3989.93,3988.98,-0.48,30,TIMEOUT,63.5,0.6503,low,sideways,No,bullish,59.1,27.3,Yes,0.01,0.09,No,No,No,No,5,4
CALL,3987.19,3987.09,-0.05,30,TIMEOUT,43.2,1.1746,low,sideways,Yes,bullish,53.9,17.1,Yes,0.07,0.05,No,No,No,No,5,4
CALL,4015.03,4012.81,-1.11,30,TIMEOUT,59.0,1.3352,low,sideways,No,bullish,65.5,9.5,No,0.00,0.10,No,No,No,No,9,4
CALL,4012.76,4008.47,-2.14,30,TIMEOUT,49.3,1.0667,low,sideways,Yes,bullish,50.0,24.5,Yes,0.01,0.13,No,No,No,No,9,4
PUT,4005.91,4008.92,-1.50,30,TIMEOUT,46.0,0.9993,low,sideways,No,bearish,58.1,11.8,Yes,0.01,0.12,No,No,No,No,10,4
PUT,4010.48,4015.08,-2.29,30,TIMEOUT,58.9,2.0147,low,sideways,Yes,bearish,62.5,37.5,Yes,0.03,0.14,No,No,No,No,13,4
CALL,4014.43,4006.69,-3.86,30,TIMEOUT,54.6,1.3786,low,sideways,No,bullish,50.6,22.4,Yes,0.04,0.19,No,No,No,No,13,4
CALL,4007.86,3995.84,-6.00,10,SL,39.4,1.7555,low,sideways,Yes,bullish,56.8,23.7,Yes,0.02,0.30,No,Yes,No,No,14,4
CALL,3984.83,3981.23,-1.81,30,TIMEOUT,24.8,3.0444,low,down,Yes,bullish,88.3,8.5,Yes,0.16,0.16,No,No,No,No,15,4
PUT,3983.35,3983.81,-0.23,30,TIMEOUT,41.1,2.3993,low,sideways,No,bearish,68.1,12.2,No,0.20,0.07,No,No,No,No,15,4
CALL,3985.32,3980.41,-2.46,30,TIMEOUT,55.9,2.4298,low,sideways,No,bullish,58.3,17.5,No,0.02,0.22,No,No,No,No,16,4
CALL,3981.22,3976.46,-2.39,30,TIMEOUT,53.0,2.0633,low,sideways,No,bullish,76.7,18.6,No,0.11,0.18,No,No,No,No,16,4
